product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nutrition-score-fr,nova-group,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
6111029000040,,نلزه,400.0,1194.0,100.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,,4.0,0.2653808593749965,0.0,Moderate,Low Sugar,Yes
6111252422169,,sting,28.0,119.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0725,0.029,,4.0,0.0,1.0,Low,Low Sugar,Yes
6111266680135,fondiz,land'or Maroc industries,277.0,1194.0,9.0,7.0,19.0,9.0,5.0,0.0,0.85,0.34,,4.0,0.2653808593749965,0.7777777777777778,Low,Low Sugar,Yes
8710438116281,Frites de patate douce,McCain,161.0,673.5,24.0,14.0,5.5,0.4,2.0,3.5,0.295,0.118,,4.0,4.125,0.5833333333333334,Low,Low Sugar,Yes
3228857002313,Brioche tressée nature allegée en sucres sans additifs 450g,Harrys,351.0,1470.0,44.0,10.0,14.0,1.2,8.7,7.0,0.82,0.328,,4.0,4.7685546875,0.22727272727272727,Moderate,Low Sugar,Yes
8000500227848,B-ready 6 pièces,"Nutella, Ferrero",521.0,2177.0,60.7,47.1,27.0,9.5,7.2,2.5,0.559,0.2236,,4.0,13.0,0.7759472817133443,High,High Sugar,Yes
3266980033613,Cordon bleu Le Gaulois,Le Gaulois,214.0,896.0,13.0,1.6,11.0,3.0,15.0,1.6,0.825,0.33,,4.0,0.0140625,0.12307692307692308,Low,Low Sugar,Yes
5010029000801,Weetabix,Weetabix,272.0,1446.25,65.0,4.0,2.0,0.6,11.25,9.5,0.24375,0.0975,,7.5,0.0,0.06153846153846154,Low,Low Sugar,No
5010265002911,Dark Rye Crispbread,Ryvita,352.380952380952,1477.14285714286,67.6190476190476,2.85714285714286,0.952380952380952,0.19047619047619,10.4761904761905,14.2857142857143,0.928571428571429,0.371428571428571,,28.5714285714286,0.0,0.04225352112676061,Moderate,Low Sugar,No
3229820004341,Pain d'épices miel,Bjorg,329.0,1395.0,75.0,40.0,1.0,0.2,3.2,3.6,0.35,0.14,,4.0,0.0,0.5333333333333333,Moderate,Moderate Sugar,Yes
3270190128519,Petit beurre tablette Chocolat noir,"Carrefour BIO, Carrefour",493.0,2063.0,60.0,35.0,24.0,15.0,7.5,4.7,0.4,0.16,,3.0,0.0,0.5833333333333334,Moderate,Moderate Sugar,No
3083681057843,Haricots Verts extra-fins 1/4,Cassegrain,20.0,82.0,2.3,1.3,0.1,0.1,1.4,2.4,0.79,0.316,,3.0,0.2653808593749965,0.5652173913043479,Low,Low Sugar,No
3083680085335,Flageolets préparés 1/2,Cassegrain,98.0,411.0,13.0,0.5,0.8,0.1,6.5,6.2,0.81,0.324,,4.0,0.2653808593749965,0.038461538461538464,Low,Low Sugar,Yes
8076809570596,Barilla sauce tomates cuisinees 400g,Barilla,68.0,284.0,6.0,5.0,4.0,0.4,1.3,1.5,1.0,0.4,,4.0,0.2653808593749965,0.8333333333333334,Low,Low Sugar,Yes
3248832967611,St Jacques fondue de poireaux & Riz Basmati,Marie,144.0,605.0,16.0,1.2,6.2,3.0,5.8,0.6,0.59,0.236,,3.0,0.2653808593749965,0.075,Low,Low Sugar,No
40893532,Cashew Nuts XXL,"Alesto, LIDL Alesto",600.0,2488.0,19.8,6.5,47.6,9.0,20.5,5.2,0.02,0.008,,1.0,100.0,0.3282828282828283,High,Low Sugar,No
3263670126518,Sardines sans arêtes au naturel,Connétable,286.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,4.0,10.0,0.25943396226415094,Low,Low Sugar,Yes
8410376039986,"Gullon Cuordi Cereale Tradizionale, Alto Contenuto Di Fibra",Gullon,455.0,1902.0,57.0,16.0,19.0,1.7,7.9,12.0,0.75,0.3,,4.0,0.0,0.2807017543859649,Moderate,Low Sugar,Yes
6111271590498,vamos,Yoplait,451.0,1194.0,70.6,43.2,14.6,7.2,4.5,2.5,0.3925,0.157,,4.0,0.2653808593749965,0.6118980169971673,Moderate,High Sugar,Yes
